ocity,ox,oy,dcity,dx,dy,strength(%%)
Tai'an,117.0258,36.001,Yulin,109.5663,38.0378,0.03274
Tai'an,117.0258,36.001,Yan'an,109.3152,36.4372,0.0
Tai'an,117.0258,36.001,Taizhou,121.1108,28.7727,0.00986
Tai'an,117.0258,36.001,Wenzhou,120.4404,27.9037,0.0
Tai'an,117.0258,36.001,Lishui,119.5117,28.1993,0.0
Tai'an,117.0258,36.001,Ningde,119.4734,26.9749,0.0
Tai'an,117.0258,36.001,Tongling,117.5561,30.8842,0.00276
Tai'an,117.0258,36.001,Jingzhou,112.57,29.9959,0.0
Tai'an,117.0258,36.001,Huaibei,116.7435,33.7266,0.00945
Tai'an,117.0258,36.001,Yantai,120.8006,37.2408,1.38149
Tai'an,117.0258,36.001,Xiaogan,113.8793,31.1183,0.0
Tai'an,117.0258,36.001,Wuxi,120.0758,31.5264,0.01165
Tai'an,117.0258,36.001,Pingdingshan,113.0118,33.7954,0.00306
Tai'an,117.0258,36.001,Suizhou,113.4241,31.8284,0.0
Tai'an,117.0258,36.001,Xuchang,113.7096,34.0726,0.00533
Tai'an,117.0258,36.001,Suqian,118.5202,33.7842,0.03003
Tai'an,117.0258,36.001,Tangshan,118.3359,39.7212,0.03266
Tai'an,117.0258,36.001,Nanchang,116.019,28.6493,0.0
Tai'an,117.0258,36.001,Pingxiang,113.9025,27.5116,0.0
Tai'an,117.0258,36.001,Changzhi,112.9168,36.4753,0.027
Tai'an,117.0258,36.001,Huai'an,118.9638,33.3529,0.02029
Tai'an,117.0258,36.001,Xinyang,114.8839,32.0812,0.00293
Tai'an,117.0258,36.001,Yangzhou,119.4742,32.7382,0.01539
Tai'an,117.0258,36.001,Yichun,114.9727,28.3061,0.0
Tai'an,117.0258,36.001,Baoji,107.2,34.3788,0.0
Tai'an,117.0258,36.001,Datong,113.7223,39.8995,0.0024
Tai'an,117.0258,36.001,Chuzhou,118.1026,32.5442,0.00468
Tai'an,117.0258,36.001,Jincheng,112.7076,35.6106,0.00582
Tai'an,117.0258,36.001,Rizhao,119.1351,35.583,2.42238
Tai'an,117.0258,36.001,Jinhua,119.9521,29.1183,0.0
Tai'an,117.0258,36.001,Longyan,116.7387,25.2928,0.0
Tai'an,117.0258,36.001,Ningbo,121.4607,29.7424,0.00791
Tai'an,117.0258,36.001,Putian,118.8895,25.4509,0.0
Tai'an,117.0258,36.001,Changsha,113.1531,28.2269,0.0
Tai'an,117.0258,36.001,Xiangtan,112.6027,27.7316,0.0
Tai'an,117.0258,36.001,Weinan,109.8508,34.95,0.00215
Tai'an,117.0258,36.001,Zaozhuang,117.3933,34.916,4.04611
Tai'an,117.0258,36.001,Shangqiu,115.6982,34.2884,0.04329
Tai'an,117.0258,36.001,Jinzhong,112.9632,37.3273,0.01445
Tai'an,117.0258,36.001,Liaocheng,115.8806,36.4585,10.14005
Tai'an,117.0258,36.001,Xianning,114.1752,29.6236,0.0
Tai'an,117.0258,36.001,Changzhou,119.6372,31.6253,0.01155
Tai'an,117.0258,36.001,Kaifeng,114.5355,34.604,0.02429
Tai'an,117.0258,36.001,Tianjin,117.334,39.2934,0.27974
Tai'an,117.0258,36.001,Zhenjiang,119.4536,32.0167,0.00338
Tai'an,117.0258,36.001,Suzhou,117.2108,33.8587,0.02396
Tai'an,117.0258,36.001,Yangquan,113.499,38.0635,0.00702
Tai'an,117.0258,36.001,Chizhou,117.3656,30.2838,0.0
Tai'an,117.0258,36.001,Binzhou,117.8377,37.5316,1.19645
Tai'an,117.0258,36.001,Sanming,117.3959,26.2987,0.0
Tai'an,117.0258,36.001,Shuozhou,112.6415,39.6173,0.0
Tai'an,117.0258,36.001,Cangzhou,116.7533,38.2668,0.09443
Tai'an,117.0258,36.001,Shanghai,121.4691,31.2401,0.06111
Tai'an,117.0258,36.001,Qianjiang,112.7561,30.339,0.0
Xiangxi,109.7269,28.6947,Tai'an,117.0258,36.001,0.0
Xiangxi,109.7269,28.6947,Xiangxi,109.7269,28.6947,0.0
Xiangxi,109.7269,28.6947,Taizhou,120.0567,32.5714,0.0
Xiangxi,109.7269,28.6947,Chenzhou,113.1367,25.8147,0.09889
Xiangxi,109.7269,28.6947,Ankang,108.9265,32.7572,0.0
Xiangxi,109.7269,28.6947,Luohe,113.8999,33.6557,0.0
Xiangxi,109.7269,28.6947,Linyi,118.2805,35.3091,0.0
Xiangxi,109.7269,28.6947,Yancheng,120.1829,33.509,0.0
Xiangxi,109.7269,28.6947,Xinxiang,114.0885,35.2621,0.0
Xiangxi,109.7269,28.6947,Jingmen,112.6083,31.069,0.01664
Xiangxi,109.7269,28.6947,Hengyang,112.5744,26.7944,0.42617
Xiangxi,109.7269,28.6947,Zhumadian,114.1509,32.9234,0.0
Xiangxi,109.7269,28.6947,Yingtan,117.1086,28.224,0.0
Xiangxi,109.7269,28.6947,Huangshi,115.0253,29.9268,0.00639
Xiangxi,109.7269,28.6947,Sanmenxia,111.1059,34.3609,0.0
Xiangxi,109.7269,28.6947,Luan,116.2297,31.66,0.0
Xiangxi,109.7269,28.6947,Zhuzhou,113.5164,27.1198,0.30501
Xiangxi,109.7269,28.6947,Shangluo,109.9013,33.6471,0.0
Xiangxi,109.7269,28.6947,Luoyang,112.0312,34.2911,0.0
Xiangxi,109.7269,28.6947,Xinyu,114.8526,27.8452,0.0038
Xiangxi,109.7269,28.6947,Anqing,116.4867,30.576,0.0
Xiangxi,109.7269,28.6947,Beijing,116.4123,40.1855,0.0
Xiangxi,109.7269,28.6947,Zhangjiakou,115.0324,40.8651,228.47609
Xiangxi,109.7269,28.6947,Xuancheng,118.8522,30.6862,0.0
Xiangxi,109.7269,28.6947,Xiangyang,111.9371,31.9307,0.013
Xiangxi,109.7269,28.6947,Shaoxing,120.6365,29.7352,0.00743
Xiangxi,109.7269,28.6947,Huanggang,115.3397,30.7159,0.00707
Xiangxi,109.7269,28.6947,Hengshui,115.8232,37.7625,0.0
Xiangxi,109.7269,28.6947,Weihai,121.9831,37.1203,0.0
Xiangxi,109.7269,28.6947,Heze,115.6924,35.1504,0.0
Xiangxi,109.7269,28.6947,Zhangjiajie,110.5256,29.3936,0.0
Xiangxi,109.7269,28.6947,Quanzhou,118.2573,25.2001,0.01704
Xiangxi,109.7269,28.6947,Huainan,116.7684,32.472,0.0
Xiangxi,109.7269,28.6947,Yichang,111.1352,30.7469,0.0343
Xiangxi,109.7269,28.6947,Bozhou,116.1807,33.4355,0.0
Xiangxi,109.7269,28.6947,Zhengzhou,113.469,34.6279,0.0
Xiangxi,109.7269,28.6947,Zibo,118.0533,36.6077,0.0
Xiangxi,109.7269,28.6947,Shaoyang,110.8747,26.9136,1.45607
Xiangxi,109.7269,28.6947,Anyang,114.3538,35.8764,0.0
Xiangxi,109.7269,28.6947,Taiyuan,112.3161,37.9592,0.0
Xiangxi,109.7269,28.6947,Xuzhou,117.5166,34.3561,0.0
Xiangxi,109.7269,28.6947,Dezhou,116.6464,37.2477,0.0
Xiangxi,109.7269,28.6947,Puyang,115.2825,35.8085,0.0
Xiangxi,109.7269,28.6947,Ezhou,114.7558,30.3287,0.00286
Xiangxi,109.7269,28.6947,Hanzhong,107.1015,33.0906,0.0
Xiangxi,109.7269,28.6947,Hangzhou,119.47,29.9003,0.0
Xiangxi,109.7269,28.6947,Ji'an,114.8247,26.9736,0.01494
Xiangxi,109.7269,28.6947,Jiyuan,112.3919,35.1003,0.0
Xiangxi,109.7269,28.6947,Zhoukou,114.8778,33.7218,0.0
Xiangxi,109.7269,28.6947,Jingdezhen,117.27,29.3073,0.0033
Xiangxi,109.7269,28.6947,Zhangzhou,117.443,24.3664,0.00178
Xiangxi,109.7269,28.6947,Nanping,118.1421,27.339,0.009
Xiangxi,109.7269,28.6947,Langfang,116.628,39.2592,0.0
Xiangxi,109.7269,28.6947,Loudi,111.6143,27.7392,1.05152
Xiangxi,109.7269,28.6947,Qingdao,120.1426,36.4532,0.0
Xiangxi,109.7269,28.6947,Huzhou,119.8687,30.7444,0.0
Xiangxi,109.7269,28.6947,Shennongjia,110.4747,31.5904,0.0
Xiangxi,109.7269,28.6947,Yueyang,113.2545,29.0653,0.29778
Xiangxi,109.7269,28.6947,Enshi,109.549,30.1916,109.09578
Xiangxi,109.7269,28.6947,Linfen,111.3769,36.2269,0.0
Xiangxi,109.7269,28.6947,Weifang,119.0711,36.5456,0.0
Xiangxi,109.7269,28.6947,Lvliang,111.2632,37.6785,0.0
Xiangxi,109.7269,28.6947,Jiaxing,120.8034,30.6165,0.00885
Xiangxi,109.7269,28.6947,Xianyang,108.3905,34.7845,0.0
Xiangxi,109.7269,28.6947,Fuzhou,119.1803,26.0497,0.0
Xiangxi,109.7269,28.6947,Tongchuan,109.0322,35.1957,0.0
Xiangxi,109.7269,28.6947,Nanjing,118.8425,31.9276,0.0
Xiangxi,109.7269,28.6947,Wuhan,114.343,30.6236,0.06336
Xiangxi,109.7269,28.6947,Handan,114.5421,36.553,0.0
Xiangxi,109.7269,28.6947,Dongying,118.6016,37.6222,0.0
Xiangxi,109.7269,28.6947,Hefei,117.3558,31.7634,0.0
Xiangxi,109.7269,28.6947,Jining,116.735,35.3685,0.0
Xiangxi,109.7269,28.6947,Xi'an,108.7919,34.1069,0.0
Xiangxi,109.7269,28.6947,Fuyang,115.7038,32.9173,0.0
Xiangxi,109.7269,28.6947,Jiujiang,115.4527,29.3218,0.00927
Xiangxi,109.7269,28.6947,Yuncheng,111.0634,35.1866,0.0
Xiangxi,109.7269,28.6947,Changde,111.5195,29.3001,5.8743
Xiangxi,109.7269,28.6947,Nantong,121.0218,32.186,0.0
Xiangxi,109.7269,28.6947,Huangshan,118.0711,29.9066,0.0035
Xiangxi,109.7269,28.6947,Xinzhou,112.4074,38.8819,0.0
Xiangxi,109.7269,28.6947,Xiantao,113.3751,30.2901,0.00288
Xiangxi,109.7269,28.6947,Suzhou,120.6516,31.3813,0.0
Xiangxi,109.7269,28.6947,Tianmen,113.1118,30.6449,0.00171
Xiangxi,109.7269,28.6947,Chengde,117.5486,41.3476,0.0
Xiangxi,109.7269,28.6947,Fuzhou,116.4343,27.51,0.00408
Xiangxi,109.7269,28.6947,Huaihua,110.0754,27.5489,138.70336
Xiangxi,109.7269,28.6947,Shijiazhuang,114.4399,38.1313,0.0
Xiangxi,109.7269,28.6947,Jiaozuo,113.1291,35.1169,0.0
Xiangxi,109.7269,28.6947,Nanyang,112.2845,33.0427,0.0
Xiangxi,109.7269,28.6947,Yongzhou,111.7294,25.7747,0.13423
Xiangxi,109.7269,28.6947,Wuhu,118.1346,31.1627,0.0
Xiangxi,109.7269,28.6947,Ganzhou,115.273,25.7088,0.01248
Xiangxi,109.7269,28.6947,Quzhou,118.6747,28.9345,0.00722
Xiangxi,109.7269,28.6947,Qinhuangdao,119.185,40.088,0.0
Xiangxi,109.7269,28.6947,Ma'anshan,118.3651,31.637,0.0
Xiangxi,109.7269,28.6947,Xiamen,118.1158,24.6765,0.0
Xiangxi,109.7269,28.6947,Xingtai,114.8159,37.2126,0.0
Xiangxi,109.7269,28.6947,Hebi,114.3109,35.7217,0.0
Xiangxi,109.7269,28.6947,Lianyungang,119.1336,34.5332,0.0
Xiangxi,109.7269,28.6947,Shangrao,117.4723,28.7734,0.00504
Xiangxi,109.7269,28.6947,Baoding,115.1706,39.0213,0.0
Xiangxi,109.7269,28.6947,Yiyang,111.951,28.5751,0.51661
Xiangxi,109.7269,28.6947,Jinan,117.2148,36.6371,0.0
Xiangxi,109.7269,28.6947,Shiyan,110.4423,32.4559,0.00616
Xiangxi,109.7269,28.6947,Bengbu,117.3254,33.1086,0.0
Xiangxi,109.7269,28.6947,Zhoushan,122.1858,30.0948,0.0
Xiangxi,109.7269,28.6947,Yulin,109.5663,38.0378,0.0
Xiangxi,109.7269,28.6947,Yan'an,109.3152,36.4372,0.0
Xiangxi,109.7269,28.6947,Taizhou,121.1108,28.7727,0.00588
Xiangxi,109.7269,28.6947,Wenzhou,120.4404,27.9037,0.05612
Xiangxi,109.7269,28.6947,Lishui,119.5117,28.1993,0.00209
Xiangxi,109.7269,28.6947,Ningde,119.4734,26.9749,0.0
Xiangxi,109.7269,28.6947,Tongling,117.5561,30.8842,0.0
Xiangxi,109.7269,28.6947,Jingzhou,112.57,29.9959,0.06349
Xiangxi,109.7269,28.6947,Huaibei,116.7435,33.7266,0.0
Xiangxi,109.7269,28.6947,Yantai,120.8006,37.2408,0.0
Xiangxi,109.7269,28.6947,Xiaogan,113.8793,31.1183,0.00657
Xiangxi,109.7269,28.6947,Wuxi,120.0758,31.5264,0.0
Xiangxi,109.7269,28.6947,Pingdingshan,113.0118,33.7954,0.0
Xiangxi,109.7269,28.6947,Suizhou,113.4241,31.8284,0.02187
Xiangxi,109.7269,28.6947,Xuchang,113.7096,34.0726,0.0
Xiangxi,109.7269,28.6947,Suqian,118.5202,33.7842,0.0
Xiangxi,109.7269,28.6947,Tangshan,118.3359,39.7212,0.0
Xiangxi,109.7269,28.6947,Nanchang,116.019,28.6493,0.0
Xiangxi,109.7269,28.6947,Pingxiang,113.9025,27.5116,0.01197
Xiangxi,109.7269,28.6947,Changzhi,112.9168,36.4753,0.0
Xiangxi,109.7269,28.6947,Huai'an,118.9638,33.3529,0.0
Xiangxi,109.7269,28.6947,Xinyang,114.8839,32.0812,0.0
Xiangxi,109.7269,28.6947,Yangzhou,119.4742,32.7382,0.0
Xiangxi,109.7269,28.6947,Yichun,114.9727,28.3061,0.01064
Xiangxi,109.7269,28.6947,Baoji,107.2,34.3788,0.0
Xiangxi,109.7269,28.6947,Datong,113.7223,39.8995,0.0
Xiangxi,109.7269,28.6947,Chuzhou,118.1026,32.5442,0.0
Xiangxi,109.7269,28.6947,Jincheng,112.7076,35.6106,0.0
Xiangxi,109.7269,28.6947,Rizhao,119.1351,35.583,0.0
Xiangxi,109.7269,28.6947,Jinhua,119.9521,29.1183,0.05394
Xiangxi,109.7269,28.6947,Longyan,116.7387,25.2928,0.0
Xiangxi,109.7269,28.6947,Ningbo,121.4607,29.7424,0.13664
Xiangxi,109.7269,28.6947,Putian,118.8895,25.4509,0.00225
Xiangxi,109.7269,28.6947,Changsha,113.1531,28.2269,24.75339
Xiangxi,109.7269,28.6947,Xiangtan,112.6027,27.7316,0.43784
Xiangxi,109.7269,28.6947,Weinan,109.8508,34.95,0.0
Xiangxi,109.7269,28.6947,Zaozhuang,117.3933,34.916,0.0
Xiangxi,109.7269,28.6947,Shangqiu,115.6982,34.2884,0.0
Xiangxi,109.7269,28.6947,Jinzhong,112.9632,37.3273,0.0
Xiangxi,109.7269,28.6947,Liaocheng,115.8806,36.4585,0.0
Xiangxi,109.7269,28.6947,Xianning,114.1752,29.6236,0.00772
Xiangxi,109.7269,28.6947,Changzhou,119.6372,31.6253,0.0
Xiangxi,109.7269,28.6947,Kaifeng,114.5355,34.604,0.0
Xiangxi,109.7269,28.6947,Tianjin,117.334,39.2934,0.0
Xiangxi,109.7269,28.6947,Zhenjiang,119.4536,32.0167,0.0
Xiangxi,109.7269,28.6947,Suzhou,117.2108,33.8587,0.0
Xiangxi,109.7269,28.6947,Yangquan,113.499,38.0635,0.0
Xiangxi,109.7269,28.6947,Chizhou,117.3656,30.2838,0.0
Xiangxi,109.7269,28.6947,Binzhou,117.8377,37.5316,0.0
Xiangxi,109.7269,28.6947,Sanming,117.3959,26.2987,0.0025
Xiangxi,109.7269,28.6947,Shuozhou,112.6415,39.6173,0.0
Xiangxi,109.7269,28.6947,Cangzhou,116.7533,38.2668,0.0
Xiangxi,109.7269,28.6947,Shanghai,121.4691,31.2401,0.0
Xiangxi,109.7269,28.6947,Qianjiang,112.7561,30.339,0.00441
Taizhou,120.0567,32.5714,Tai'an,117.0258,36.001,0.0
Taizhou,120.0567,32.5714,Xiangxi,109.7269,28.6947,0.0
Taizhou,120.0567,32.5714,Taizhou,120.0567,32.5714,0.0
Taizhou,120.0567,32.5714,Chenzhou,113.1367,25.8147,0.0
Taizhou,120.0567,32.5714,Ankang,108.9265,32.7572,0.0
Taizhou,120.0567,32.5714,Luohe,113.8999,33.6557,0.0
Taizhou,120.0567,32.5714,Linyi,118.2805,35.3091,0.0
Taizhou,120.0567,32.5714,Yancheng,120.1829,33.509,0.0
Taizhou,120.0567,32.5714,Xinxiang,114.0885,35.2621,0.0
Taizhou,120.0567,32.5714,Jingmen,112.6083,31.069,0.0
Taizhou,120.0567,32.5714,Hengyang,112.5744,26.7944,0.0
Taizhou,120.0567,32.5714,Zhumadian,114.1509,32.9234,0.0
Taizhou,120.0567,32.5714,Yingtan,117.1086,28.224,0.0
Taizhou,120.0567,32.5714,Huangshi,115.0253,29.9268,0.0
Taizhou,120.0567,32.5714,Sanmenxia,111.1059,34.3609,0.0
Taizhou,120.0567,32.5714,Luan,116.2297,31.66,0.0
Taizhou,120.0567,32.5714,Zhuzhou,113.5164,27.1198,0.0
Taizhou,120.0567,32.5714,Shangluo,109.9013,33.6471,0.0
Taizhou,120.0567,32.5714,Luoyang,112.0312,34.2911,0.0
Taizhou,120.0567,32.5714,Xinyu,114.8526,27.8452,0.0
Taizhou,120.0567,32.5714,Anqing,116.4867,30.576,0.0
Taizhou,120.0567,32.5714,Beijing,116.4123,40.1855,0.0
Taizhou,120.0567,32.5714,Zhangjiakou,115.0324,40.8651,0.0
Taizhou,120.0567,32.5714,Xuancheng,118.8522,30.6862,0.0
Taizhou,120.0567,32.5714,Xiangyang,111.9371,31.9307,0.0
Taizhou,120.0567,32.5714,Shaoxing,120.6365,29.7352,0.0
Taizhou,120.0567,32.5714,Huanggang,115.3397,30.7159,0.0
Taizhou,120.0567,32.5714,Hengshui,115.8232,37.7625,0.0
Taizhou,120.0567,32.5714,Weihai,121.9831,37.1203,0.0
Taizhou,120.0567,32.5714,Heze,115.6924,35.1504,0.0
Taizhou,120.0567,32.5714,Zhangjiajie,110.5256,29.3936,0.0
Taizhou,120.0567,32.5714,Quanzhou,118.2573,25.2001,0.0
Taizhou,120.0567,32.5714,Huainan,116.7684,32.472,0.0
Taizhou,120.0567,32.5714,Yichang,111.1352,30.7469,0.0
Taizhou,120.0567,32.5714,Bozhou,116.1807,33.4355,0.0
Taizhou,120.0567,32.5714,Zhengzhou,113.469,34.6279,0.0
Taizhou,120.0567,32.5714,Zibo,118.0533,36.6077,0.0
Taizhou,120.0567,32.5714,Shaoyang,110.8747,26.9136,0.0
Taizhou,120.0567,32.5714,Anyang,114.3538,35.8764,0.0
Taizhou,120.0567,32.5714,Taiyuan,112.3161,37.9592,0.0
Taizhou,120.0567,32.5714,Xuzhou,117.5166,34.3561,0.0
Taizhou,120.0567,32.5714,Dezhou,116.6464,37.2477,0.0
Taizhou,120.0567,32.5714,Puyang,115.2825,35.8085,0.0
Taizhou,120.0567,32.5714,Ezhou,114.7558,30.3287,0.0
Taizhou,120.0567,32.5714,Hanzhong,107.1015,33.0906,0.0
Taizhou,120.0567,32.5714,Hangzhou,119.47,29.9003,0.0
Taizhou,120.0567,32.5714,Ji'an,114.8247,26.9736,0.0
Taizhou,120.0567,32.5714,Jiyuan,112.3919,35.1003,0.0
Taizhou,120.0567,32.5714,Zhoukou,114.8778,33.7218,0.0
Taizhou,120.0567,32.5714,Jingdezhen,117.27,29.3073,0.0
Taizhou,120.0567,32.5714,Zhangzhou,117.443,24.3664,0.0
Taizhou,120.0567,32.5714,Nanping,118.1421,27.339,0.0
Taizhou,120.0567,32.5714,Langfang,116.628,39.2592,0.0
Taizhou,120.0567,32.5714,Loudi,111.6143,27.7392,0.0
Taizhou,120.0567,32.5714,Qingdao,120.1426,36.4532,0.0
Taizhou,120.0567,32.5714,Huzhou,119.8687,30.7444,0.0
Taizhou,120.0567,32.5714,Shennongjia,110.4747,31.5904,0.0
Taizhou,120.0567,32.5714,Yueyang,113.2545,29.0653,0.0
Taizhou,120.0567,32.5714,Enshi,109.549,30.1916,0.0
Taizhou,120.0567,32.5714,Linfen,111.3769,36.2269,0.0
Taizhou,120.0567,32.5714,Weifang,119.0711,36.5456,0.0
Taizhou,120.0567,32.5714,Lvliang,111.2632,37.6785,0.0
Taizhou,120.0567,32.5714,Jiaxing,120.8034,30.6165,0.0
Taizhou,120.0567,32.5714,Xianyang,108.3905,34.7845,0.0
